row	weekday	time	conf	national_tv	opp_win_p	opp_all_stars	win_p	attendance
1464	Th	2:00 pm	Non-Conference	Yes	40% - 60%	1	0.4721175367522346	8911
1465	W	7:00 pm	Non-Conference	Yes	40% - 60%	1	0.42828267279713594	12650
1466	Th	7:00 pm	Non-Conference	Yes	Less than 40%	0	0.547018700892291	9786
1467	Th	5:00 pm	Non-Conference	No	Less than 40%	1	0.5580261911933443	9417
1468	Tu	7:00 pm	Non-Conference	No	40% - 60%	0	0.4492304759990839	10841
1469	Th	5:00 pm	conference	Yes	Less than 40%	2	0.5642291421253985	13296
1470	W	5:00 pm	Non-Conference	Yes	40% - 60%	0	0.3663921159081889	10018
1471	Tu	7:00 pm	conference	No	Less than 40%	2	0.583757234107833	14655
1472	W	7:00 pm	Rivalry	Yes	40% - 60%	1	0.46888410910899664	19948
1473	Th	7:00 pm	Non-Conference	Yes	40% - 60%	2	0.5042030220747473	13343
1474	W	2:00 pm	conference	Yes	More than 60%	1	0.6029614030592907	14242
1475	Su	5:00 pm	conference	No	Less than 40%	2	0.6627408030186914	15235
1476	M	7:00 pm	conference	No	Less than 40%	3	0.7265410226527895	15769
1477	Tu	5:00 pm	Non-Conference	Yes	Less than 40%	0	0.5210872032889785	8854
1478	Tu	5:00 pm	conference	No	Less than 40%	0	0.69623548115112	11677
1479	Sa	5:00 pm	Non-Conference	Yes	Less than 40%	1	0.6896861064966915	11916
1480	M	7:00 pm	conference	No	Less than 40%	0	0.3858387279794108	13123
1481	Sa	7:00 pm	Non-Conference	No	Less than 40%	1	0.3311155638662474	12921
1482	M	5:00 pm	Non-Conference	No	More than 60%	2	0.42640808401510233	15522
1483	Tu	5:00 pm	conference	No	Less than 40%	0	0.5684174222723734	12227
1484	Sa	7:00 pm	Non-Conference	Yes	Less than 40%	1	0.534745148165793	12256
1485	Th	7:00 pm	conference	Yes	Less than 40%	0	0.4813738933966132	13063
1486	Sa	7:00 pm	Non-Conference	Yes	More than 60%	0	0.46226710363236156	14597
1487	W	7:00 pm	Non-Conference	Yes	Less than 40%	1	0.45302712526728983	10158
1488	Th	5:00 pm	conference	Yes	Less than 40%	0	0.4603031579056316	11311
1489	Sa	5:00 pm	conference	No	Less than 40%	1	0.44792557387303655	14084
1490	W	7:00 pm	conference	Yes	More than 60%	1	0.5168411265132115	17360
1491	W	5:00 pm	Non-Conference	Yes	40% - 60%	1	0.557964634435134	11701
1492	Tu	5:00 pm	conference	No	Less than 40%	0	0.3447323595029328	12302
1493	Th	5:00 pm	Rivalry	No	Less than 40%	1	0.46906303737478283	17174
1494	Su	7:00 pm	Non-Conference	Yes	Less than 40%	1	0.5264691149799963	11512
1495	Fr	2:00 pm	conference	No	More than 60%	0	0.4628618164585948	14839
1496	Th	5:00 pm	Non-Conference	No	More than 60%	0	0.41960148187042634	12747
1497	W	5:00 pm	conference	No	Less than 40%	0	0.4995862150034278	10922
1498	Th	7:00 pm	Non-Conference	Yes	More than 60%	0	0.45150122133713394	13368
1499	Sa	7:00 pm	conference	Yes	40% - 60%	2	0.6320666126728886	18585
1500	Su	7:00 pm	Rivalry	Yes	40% - 60%	0	0.4604681538981335	19632
1501	Tu	5:00 pm	conference	Yes	40% - 60%	0	0.4860080186745464	12886
1502	Su	7:00 pm	Non-Conference	Yes	40% - 60%	3	0.4143825980884463	15258
1503	Tu	7:00 pm	conference	No	Less than 40%	1	0.6387789648241012	13806
1504	M	5:00 pm	Non-Conference	Yes	Less than 40%	1	0.5886734836720995	9349
1505	Fr	5:00 pm	conference	No	40% - 60%	2	0.563817824246104	16462
1506	W	7:00 pm	conference	No	More than 60%	0	0.48798031469913067	16727
1507	Sa	7:00 pm	Non-Conference	Yes	Less than 40%	1	0.6013673898507372	12497
1508	Fr	5:00 pm	conference	Yes	Less than 40%	0	0.5908090229932355	12217
1509	Su	5:00 pm	conference	No	40% - 60%	0	0.5732043108393576	14648
1510	Su	5:00 pm	conference	No	40% - 60%	2	0.5374084723654546	17205
1511	Th	7:00 pm	Non-Conference	No	Less than 40%	0	0.372760873302977	8731
1512	Sa	7:00 pm	Non-Conference	Yes	40% - 60%	0	0.5539396702889147	13123
1513	W	7:00 pm	conference	Yes	40% - 60%	0	0.48141470135235154	14110
1514	Tu	7:00 pm	Non-Conference	No	More than 60%	0	0.3536840025947008	13927
1515	Tu	5:00 pm	Non-Conference	Yes	Less than 40%	1	0.5163663543799711	9144
1516	Fr	5:00 pm	Non-Conference	No	40% - 60%	0	0.6084168979558413	11907
1517	M	7:00 pm	conference	Yes	Less than 40%	0	0.6104929280617535	12944
1518	Th	7:00 pm	Non-Conference	Yes	Less than 40%	0	0.416216817073951	8843
1519	Sa	7:00 pm	Rivalry	No	40% - 60%	1	0.3693904163342596	22676
1520	Sa	5:00 pm	Non-Conference	No	40% - 60%	2	0.5484871831285465	15239
1521	W	5:00 pm	Non-Conference	No	40% - 60%	0	0.3908669123508553	10698
1522	Sa	2:00 pm	Non-Conference	No	40% - 60%	1	0.5652080076271397	12482
1523	Su	7:00 pm	conference	No	40% - 60%	1	0.38078383810898986	16431
1524	Tu	7:00 pm	Non-Conference	Yes	40% - 60%	1	0.6358131076000823	12099
1525	Sa	7:00 pm	conference	No	40% - 60%	0	0.6293715183770647	16456
1526	Sa	7:00 pm	conference	No	More than 60%	3	0.5236052538180881	22172
1527	M	5:00 pm	conference	No	Less than 40%	0	0.43338715184770327	11687
1528	Fr	5:00 pm	conference	Yes	40% - 60%	0	0.39352319910060674	13584
1529	Su	5:00 pm	conference	Yes	40% - 60%	0	0.3628000139107753	14444
1530	Tu	5:00 pm	Non-Conference	No	More than 60%	2	0.4458229744687684	14448
1531	Tu	7:00 pm	Non-Conference	Yes	Less than 40%	1	0.48566692418073915	11269
1532	M	5:00 pm	conference	Yes	Less than 40%	0	0.4820283642123954	10909
1533	M	5:00 pm	conference	No	Less than 40%	1	0.4812733474333866	12254
1534	Fr	5:00 pm	Rivalry	Yes	40% - 60%	0	0.6702385622647629	20063
1535	Fr	5:00 pm	conference	No	Less than 40%	0	0.4782123535486278	12137
1536	M	2:00 pm	conference	No	Less than 40%	0	0.4052839955862019	9854
1537	Fr	5:00 pm	conference	No	More than 60%	2	0.5381849900100245	19239
1538	W	7:00 pm	Non-Conference	No	40% - 60%	0	0.6804260586014967	12148
1539	W	7:00 pm	conference	No	More than 60%	0	0.5247417085066525	16554
1540	Tu	7:00 pm	Non-Conference	No	More than 60%	0	0.3931133198801405	13128
1541	Th	5:00 pm	conference	No	More than 60%	0	0.45907605377377647	17010
1542	Su	5:00 pm	Non-Conference	Yes	Less than 40%	1	0.5703721179343277	10207
1543	Fr	7:00 pm	Non-Conference	No	Less than 40%	0	0.3913588309757444	10602
1544	M	2:00 pm	Rivalry	No	More than 60%	1	0.5968820375403893	20701
1545	W	7:00 pm	Non-Conference	No	40% - 60%	0	0.32708355022657204	11192
1546	Sa	7:00 pm	Non-Conference	No	40% - 60%	2	0.5014634099128564	15649
1547	Su	5:00 pm	Non-Conference	Yes	40% - 60%	2	0.3343190187828615	13272
1548	M	5:00 pm	Non-Conference	No	More than 60%	0	0.6411615177872536	13663
1549	Fr	5:00 pm	Non-Conference	No	40% - 60%	1	0.3513878120869258	12776
1550	Tu	5:00 pm	Rivalry	No	More than 60%	0	0.43079749984592236	20685
1551	Su	7:00 pm	Rivalry	No	More than 60%	1	0.6629119645895788	24863
1552	Sa	7:00 pm	conference	No	40% - 60%	1	0.6561510908016199	17130
1553	Fr	7:00 pm	Rivalry	Yes	Less than 40%	0	0.5057315090442448	18088
1554	Th	7:00 pm	conference	No	Less than 40%	0	0.5643904619396876	12667
1555	Th	2:00 pm	Rivalry	No	More than 60%	1	0.5918781227364087	19882
1556	Su	5:00 pm	conference	No	More than 60%	0	0.29861122275842805	16471
1557	W	5:00 pm	conference	No	More than 60%	0	0.4040386605484142	15605
1558	M	5:00 pm	conference	Yes	40% - 60%	2	0.4941026627186233	16385
1559	Sa	7:00 pm	Non-Conference	Yes	40% - 60%	3	0.6451005760736305	16875
1560	Th	5:00 pm	conference	Yes	Less than 40%	1	0.4551935411842999	12777
1561	Tu	5:00 pm	Non-Conference	Yes	More than 60%	0	0.5359963975444637	11913
1562	Th	7:00 pm	Non-Conference	Yes	Less than 40%	1	0.3423708712628979	9551
1563	Th	2:00 pm	Non-Conference	Yes	More than 60%	0	0.48102678534543625	9535
1564	W	7:00 pm	conference	Yes	More than 60%	0	0.5952724622495937	15221
1565	Tu	7:00 pm	Non-Conference	Yes	40% - 60%	2	0.3749903071992543	12743
1566	Tu	5:00 pm	Non-Conference	Yes	More than 60%	0	0.31952468423692787	11509
1567	Sa	7:00 pm	conference	Yes	40% - 60%	0	0.33694946981171636	15653
1568	Fr	5:00 pm	conference	No	40% - 60%	0	0.5950245271458576	14624
1569	W	7:00 pm	conference	No	Less than 40%	0	0.5170535760809584	12010
1570	Sa	2:00 pm	Rivalry	Yes	40% - 60%	2	0.5351569215691816	20030
1571	Fr	5:00 pm	conference	No	More than 60%	0	0.5118029587548492	16479
1572	Fr	5:00 pm	conference	No	40% - 60%	1	0.4126222654705085	15945
1573	W	5:00 pm	Rivalry	No	40% - 60%	1	0.5795078648565716	19756
1574	M	7:00 pm	Rivalry	Yes	More than 60%	0	0.44163567508529017	21428
1575	Th	5:00 pm	Rivalry	Yes	More than 60%	0	0.49900934575903466	20401
1576	M	5:00 pm	conference	No	Less than 40%	0	0.5456583792562579	12891
1577	Su	2:00 pm	Non-Conference	Yes	40% - 60%	1	0.40495075317629875	9832
1578	Tu	7:00 pm	conference	Yes	40% - 60%	1	0.3076066776661038	16221
1579	Su	7:00 pm	conference	Yes	40% - 60%	1	0.42301850301643784	16596
1580	Th	5:00 pm	Non-Conference	Yes	More than 60%	0	0.39167500738873634	11618
1581	Fr	7:00 pm	conference	No	40% - 60%	1	0.5924379819877945	15954
1582	W	7:00 pm	conference	No	40% - 60%	1	0.39955527304094607	14690
1583	W	5:00 pm	conference	No	Less than 40%	1	0.33312326537682213	12440
1584	M	7:00 pm	conference	No	40% - 60%	1	0.4751175565386725	17300
1585	Th	2:00 pm	Non-Conference	No	40% - 60%	0	0.5475566583597686	9036
1586	Tu	7:00 pm	conference	Yes	Less than 40%	0	0.47501186064598	13150
1587	Su	2:00 pm	Non-Conference	Yes	More than 60%	0	0.4866480540070813	10061
1588	Tu	5:00 pm	Non-Conference	No	Less than 40%	0	0.4259207565467683	7817
1589	W	5:00 pm	Rivalry	No	More than 60%	0	0.40880155744969493	20094
1590	M	7:00 pm	conference	Yes	40% - 60%	0	0.45962352397411455	14275
1591	Su	5:00 pm	Non-Conference	No	40% - 60%	1	0.4031637642510656	12509
1592	Th	5:00 pm	Non-Conference	Yes	More than 60%	3	0.7333011021204326	15133
1593	Sa	2:00 pm	conference	Yes	Less than 40%	3	0.5257926832275716	14828
1594	Th	7:00 pm	conference	Yes	Less than 40%	0	0.4050735191197514	12742
1595	Sa	7:00 pm	conference	No	40% - 60%	1	0.49983791361780544	17698
1596	Sa	5:00 pm	conference	Yes	Less than 40%	1	0.7038555629013923	13977
1597	Sa	5:00 pm	Non-Conference	Yes	More than 60%	0	0.2991199565530256	13235
1598	Th	7:00 pm	Non-Conference	No	40% - 60%	1	0.4594584742513676	12240
1599	Th	7:00 pm	conference	No	Less than 40%	1	0.41614756288089916	13925
1600	Su	7:00 pm	Non-Conference	No	Less than 40%	0	0.48483688943141695	10128
1601	Su	2:00 pm	conference	No	Less than 40%	1	0.5451080155258597	11558
1602	M	7:00 pm	Non-Conference	No	40% - 60%	0	0.5605312459374447	11472
1603	Tu	7:00 pm	Non-Conference	No	More than 60%	0	0.5450045648920945	13556
1604	Th	5:00 pm	conference	No	40% - 60%	2	0.5056543788845133	14641
1605	Th	5:00 pm	conference	No	Less than 40%	0	0.7374145551509526	12247
1606	Tu	7:00 pm	conference	Yes	More than 60%	0	0.5133508556562733	16062
1607	W	5:00 pm	conference	No	40% - 60%	0	0.6403657521403702	14543
1608	Tu	5:00 pm	conference	No	40% - 60%	1	0.4458373644028649	14587
1609	Th	2:00 pm	conference	No	More than 60%	2	0.35094035439857363	15167
1610	Su	5:00 pm	conference	Yes	More than 60%	2	0.5012335897807793	18885
1611	M	7:00 pm	conference	No	40% - 60%	1	0.7317734139227775	16594
1612	Fr	5:00 pm	Non-Conference	No	More than 60%	0	0.39507143852621646	13911
1613	Th	7:00 pm	conference	No	40% - 60%	2	0.48226007625676154	16952
1614	Tu	5:00 pm	Non-Conference	Yes	40% - 60%	0	0.5830382401226657	9569
1615	Tu	5:00 pm	Rivalry	No	Less than 40%	0	0.2858275006824917	15800
1616	Th	5:00 pm	conference	No	40% - 60%	0	0.4565977254915597	14520
1617	Th	2:00 pm	Rivalry	Yes	Less than 40%	1	0.6348259960775045	16172
1618	Tu	5:00 pm	Non-Conference	Yes	Less than 40%	2	0.4622165204246908	10025
1619	Tu	2:00 pm	Non-Conference	No	40% - 60%	0	0.6257292282759095	9155
1620	M	5:00 pm	Non-Conference	No	Less than 40%	0	0.5990900557324547	9402
1621	Th	5:00 pm	Rivalry	Yes	Less than 40%	0	0.46005656367442677	16378
1622	Su	5:00 pm	conference	Yes	40% - 60%	1	0.5972317684304174	14453
1623	M	5:00 pm	Non-Conference	Yes	More than 60%	1	0.5298656020917879	12565
1624	Sa	2:00 pm	conference	Yes	40% - 60%	0	0.5787981371767954	13438
1625	Th	7:00 pm	conference	No	40% - 60%	0	0.43965386263702166	15203
1626	W	5:00 pm	conference	No	More than 60%	0	0.3865049268220372	15418
1627	Fr	7:00 pm	conference	No	40% - 60%	1	0.42783629101876786	17088
1628	Fr	5:00 pm	Non-Conference	No	40% - 60%	3	0.533520352761353	14724
1629	Tu	5:00 pm	conference	Yes	More than 60%	1	0.5569382472153505	15899
1630	Tu	5:00 pm	Non-Conference	No	More than 60%	0	0.5951784186035897	12784
1631	Fr	5:00 pm	conference	No	More than 60%	0	0.2635347978833107	15822
1632	Fr	2:00 pm	Rivalry	No	40% - 60%	0	0.5019779713557122	17567
1633	W	7:00 pm	Non-Conference	No	40% - 60%	0	0.5180532440141065	11976
1634	M	7:00 pm	Non-Conference	No	More than 60%	1	0.474002472422798	14963
1635	M	7:00 pm	conference	No	Less than 40%	1	0.38214523191051053	14163
1636	Tu	7:00 pm	Non-Conference	No	40% - 60%	0	0.6442632515036457	11180
1637	Tu	5:00 pm	conference	No	More than 60%	0	0.4284269242226102	15202
1638	Su	2:00 pm	conference	No	40% - 60%	0	0.5012843170970464	13669
1639	Su	7:00 pm	conference	No	40% - 60%	0	0.39471290112095625	15860
1640	W	2:00 pm	conference	No	Less than 40%	0	0.5198343339539163	9553
1641	Su	7:00 pm	Non-Conference	Yes	Less than 40%	0	0.6684231780152253	11147
1642	Tu	2:00 pm	conference	No	More than 60%	0	0.5163202396380385	13540
1643	Tu	5:00 pm	conference	Yes	Less than 40%	1	0.5659428807358408	12285
1644	W	5:00 pm	Non-Conference	No	40% - 60%	0	0.591280413376075	10870
1645	Th	5:00 pm	conference	Yes	40% - 60%	1	0.5948513100308243	13885
1646	Sa	5:00 pm	Rivalry	Yes	40% - 60%	1	0.3837680715302323	20648
1647	Su	7:00 pm	Non-Conference	No	Less than 40%	0	0.49946225288586266	10289
1648	M	5:00 pm	conference	Yes	Less than 40%	0	0.6062818690712956	12335
1649	Tu	7:00 pm	conference	Yes	40% - 60%	0	0.7680313283929513	15507
1650	Fr	7:00 pm	conference	No	40% - 60%	3	0.5356295965963098	18854
1651	Su	5:00 pm	Non-Conference	No	40% - 60%	1	0.40859102046817597	12138
1652	Sa	5:00 pm	Rivalry	No	More than 60%	0	0.4534697187516382	22163
1653	Th	7:00 pm	conference	No	More than 60%	0	0.4698089451446877	16748
1654	W	7:00 pm	conference	No	40% - 60%	0	0.47874055033638585	14796
1655	Sa	5:00 pm	Non-Conference	No	Less than 40%	0	0.4824431935015749	11039
1656	W	7:00 pm	Non-Conference	No	More than 60%	0	0.4661385058130857	13984
1657	Fr	2:00 pm	Non-Conference	No	40% - 60%	0	0.43394629388989747	9692
1658	Sa	7:00 pm	Non-Conference	Yes	More than 60%	0	0.48268860717048934	15784
1659	Th	5:00 pm	Non-Conference	No	40% - 60%	0	0.36912858073108357	10470
1660	Fr	5:00 pm	Non-Conference	Yes	More than 60%	0	0.5621754561668194	13112
1661	M	7:00 pm	conference	Yes	More than 60%	0	0.4529490815298044	16238
1662	Tu	2:00 pm	Non-Conference	No	40% - 60%	0	0.4335616166772204	9907
1663	Sa	5:00 pm	Rivalry	Yes	40% - 60%	2	0.5263720509561587	22684
1664	M	7:00 pm	Non-Conference	Yes	40% - 60%	1	0.4680163965379699	12320
1665	Tu	2:00 pm	Non-Conference	Yes	Less than 40%	0	0.48846221244394505	6663
1666	Su	5:00 pm	conference	No	Less than 40%	0	0.6614806663098951	13437
1667	Su	5:00 pm	Non-Conference	No	40% - 60%	2	0.5430869234457718	13452
1668	Su	7:00 pm	Non-Conference	Yes	Less than 40%	2	0.7036307992603866	12646
1669	Su	7:00 pm	conference	No	40% - 60%	0	0.5483151030157283	17570
1670	Su	7:00 pm	Rivalry	Yes	40% - 60%	1	0.6440961040070801	21506
1671	Sa	5:00 pm	Non-Conference	Yes	Less than 40%	0	0.544197307117634	9995
1672	Th	7:00 pm	Non-Conference	No	40% - 60%	0	0.3692831670521167	12399
1673	Th	7:00 pm	conference	Yes	Less than 40%	1	0.4926333907697421	12804
1674	Fr	5:00 pm	Non-Conference	No	More than 60%	1	0.5083847982841111	14152
1675	Fr	2:00 pm	conference	No	Less than 40%	1	0.48475412699995823	11597
1676	M	5:00 pm	conference	Yes	40% - 60%	0	0.6277892650754542	14095
1677	Su	7:00 pm	Non-Conference	Yes	More than 60%	0	0.36463460935984426	13922
1678	Tu	7:00 pm	Non-Conference	No	Less than 40%	1	0.37942280040485177	11678
1679	M	7:00 pm	Non-Conference	Yes	40% - 60%	2	0.3658727644835815	12998
1680	Th	5:00 pm	Non-Conference	Yes	More than 60%	2	0.33383596445940467	13388
1681	Th	7:00 pm	conference	No	40% - 60%	1	0.4731273399336176	15938
1682	M	5:00 pm	conference	Yes	40% - 60%	0	0.44796807643943193	13525
1683	Su	7:00 pm	Non-Conference	Yes	Less than 40%	1	0.6011190473777612	11493
1684	Th	5:00 pm	Non-Conference	No	More than 60%	1	0.5895547524048739	13180
1685	Tu	5:00 pm	Non-Conference	Yes	More than 60%	0	0.4107346882018958	12308
1686	Fr	5:00 pm	Non-Conference	Yes	40% - 60%	1	0.457530969480183	13288
1687	Sa	7:00 pm	Non-Conference	No	Less than 40%	0	0.5278750119323998	11902
1688	Su	2:00 pm	Non-Conference	Yes	More than 60%	0	0.34162401575327483	10340
1689	Su	5:00 pm	Rivalry	No	More than 60%	0	0.4061665084552866	22070
1690	Fr	7:00 pm	Non-Conference	Yes	40% - 60%	0	0.4817364493248482	11007
1691	Th	7:00 pm	conference	Yes	Less than 40%	1	0.5758080365091567	13635
1692	Su	5:00 pm	Non-Conference	No	More than 60%	0	0.5938192791104564	14468
1693	Th	5:00 pm	Non-Conference	Yes	Less than 40%	0	0.5893912948947085	8336
1694	Th	5:00 pm	conference	No	Less than 40%	0	0.32720494680090073	11569
1695	Tu	5:00 pm	Non-Conference	Yes	Less than 40%	1	0.29883378295843843	10022
1696	M	7:00 pm	Non-Conference	Yes	Less than 40%	1	0.5254843830473273	9640
1697	Su	7:00 pm	conference	Yes	40% - 60%	3	0.632018666391217	18450
1698	Su	5:00 pm	conference	No	40% - 60%	0	0.511586048295024	15004
1699	Th	7:00 pm	Non-Conference	Yes	40% - 60%	1	0.5481411566797273	11587
1700	Tu	7:00 pm	conference	No	More than 60%	1	0.37724440642588	17811
1701	Su	5:00 pm	conference	Yes	Less than 40%	0	0.5412546195239915	12951
1702	W	7:00 pm	Non-Conference	Yes	More than 60%	1	0.44717616616588707	13774
1703	Fr	7:00 pm	Rivalry	No	Less than 40%	0	0.49917407782828527	18410
1704	Su	5:00 pm	conference	No	Less than 40%	1	0.6020053929315419	13979
1705	M	7:00 pm	conference	No	40% - 60%	0	0.5048078589736474	14722
1706	Fr	7:00 pm	Non-Conference	Yes	40% - 60%	0	0.4995022973382356	12275
1707	Tu	2:00 pm	Non-Conference	No	40% - 60%	0	0.4153239331925605	9409
1708	W	5:00 pm	Non-Conference	No	Less than 40%	1	0.44490731333007993	10603
1709	Th	5:00 pm	conference	Yes	More than 60%	0	0.5349387174972957	15374
1710	Tu	5:00 pm	Non-Conference	Yes	40% - 60%	0	0.6016822141986241	10866
1711	W	5:00 pm	conference	Yes	Less than 40%	1	0.37786037233076547	12240
1712	Th	2:00 pm	conference	Yes	More than 60%	1	0.5339187876441798	14237
1713	W	5:00 pm	Non-Conference	No	40% - 60%	0	0.4997006465908117	10348
1714	Th	7:00 pm	conference	Yes	40% - 60%	0	0.5284896405461291	13766
1715	W	7:00 pm	Non-Conference	No	40% - 60%	2	0.6553913075153122	13920
1716	Th	7:00 pm	conference	No	40% - 60%	0	0.3874246214139171	15035
1717	Fr	7:00 pm	conference	No	More than 60%	0	0.5403212745092921	18556
1718	W	7:00 pm	conference	No	40% - 60%	0	0.6013342130367302	15500
1719	W	5:00 pm	Non-Conference	No	Less than 40%	1	0.5314466481761062	9670
1720	W	2:00 pm	conference	No	Less than 40%	1	0.40474881290917925	10496
1721	Th	2:00 pm	conference	Yes	Less than 40%	0	0.5000908211595925	9003
1722	Tu	5:00 pm	conference	Yes	40% - 60%	0	0.5610670651783786	13460
1723	Th	7:00 pm	Non-Conference	Yes	More than 60%	0	0.501487181633681	13701
1724	Tu	5:00 pm	Non-Conference	Yes	40% - 60%	0	0.5574124601576477	10845
1725	Sa	7:00 pm	conference	Yes	More than 60%	0	0.7075874833647641	17527
1726	Sa	7:00 pm	conference	No	More than 60%	0	0.5055010984434414	18741
1727	Tu	5:00 pm	Non-Conference	No	40% - 60%	1	0.5676120983758214	11281
1728	Fr	7:00 pm	Non-Conference	No	More than 60%	0	0.5512537744568039	14882
1729	Tu	7:00 pm	Rivalry	No	40% - 60%	1	0.3698344453932172	20548
1730	Th	7:00 pm	conference	No	More than 60%	3	0.5889648169036888	19819
1731	W	7:00 pm	conference	No	Less than 40%	2	0.6175926833828596	14347
1732	Fr	7:00 pm	Non-Conference	Yes	40% - 60%	0	0.486623924616999	13091
1733	Tu	5:00 pm	Non-Conference	Yes	Less than 40%	0	0.4726897327807702	8492
1734	Th	5:00 pm	conference	Yes	40% - 60%	1	0.5065265087164839	13441
1735	W	7:00 pm	Non-Conference	No	More than 60%	1	0.5450408411806386	13937
1736	W	5:00 pm	conference	No	40% - 60%	0	0.47648157384245404	13761
1737	Tu	2:00 pm	Non-Conference	Yes	Less than 40%	0	0.3197455277978327	6938
1738	Th	5:00 pm	Non-Conference	Yes	More than 60%	2	0.7150205568758556	13249
1739	Tu	2:00 pm	conference	Yes	40% - 60%	0	0.42004079569686537	11268
1740	Su	7:00 pm	Non-Conference	No	More than 60%	0	0.5784012480839447	14687
1741	Su	5:00 pm	Non-Conference	Yes	More than 60%	1	0.7006265844387067	14426
1742	Tu	5:00 pm	conference	Yes	Less than 40%	0	0.5924286688522289	11354
1743	M	7:00 pm	Non-Conference	No	40% - 60%	0	0.23017473807196392	10727
1744	Fr	7:00 pm	conference	No	Less than 40%	0	0.5173336562175438	13492
1745	M	5:00 pm	conference	Yes	40% - 60%	2	0.509665599405012	15037
1746	Tu	5:00 pm	conference	Yes	Less than 40%	1	0.3484239298090014	12004
1747	Tu	2:00 pm	conference	No	More than 60%	0	0.28300608145825334	13080
1748	Th	7:00 pm	conference	Yes	40% - 60%	0	0.311677155748053	13448
1749	Fr	7:00 pm	Non-Conference	Yes	40% - 60%	1	0.4292233491901841	13367
1750	Sa	5:00 pm	conference	Yes	40% - 60%	0	0.613132705517755	15066
1751	Th	2:00 pm	conference	Yes	More than 60%	2	0.5064771553456819	14390
1752	Fr	7:00 pm	conference	No	More than 60%	1	0.4822039420092935	18648
1753	M	7:00 pm	Non-Conference	Yes	More than 60%	1	0.45525005253184553	14740
1754	Sa	7:00 pm	conference	Yes	More than 60%	0	0.5750513323910892	17762
1755	W	7:00 pm	Non-Conference	Yes	More than 60%	1	0.6974826317871525	15063
1756	W	7:00 pm	conference	No	40% - 60%	1	0.5768082201486797	16584
1757	W	5:00 pm	Rivalry	No	More than 60%	2	0.3456582188682016	22715
1758	W	5:00 pm	Non-Conference	Yes	40% - 60%	1	0.6015935584359673	11063
1759	Sa	5:00 pm	conference	Yes	40% - 60%	0	0.3998650359159387	15037
1760	Th	7:00 pm	Non-Conference	Yes	40% - 60%	1	0.3868935780917749	11722
1761	Tu	5:00 pm	conference	Yes	Less than 40%	0	0.40639101131854705	10800
1762	M	5:00 pm	Non-Conference	No	Less than 40%	1	0.43447135718799557	9213
1763	M	7:00 pm	Rivalry	No	More than 60%	3	0.43893173991387646	25198
1764	Su	5:00 pm	conference	No	Less than 40%	0	0.3968121570092529	11910
1765	Th	7:00 pm	Non-Conference	Yes	More than 60%	1	0.4295134788662783	14291
1766	W	2:00 pm	Non-Conference	Yes	More than 60%	1	0.3852917246851723	10671
1767	M	5:00 pm	conference	Yes	Less than 40%	1	0.4896349955538777	12462
1768	Th	5:00 pm	conference	No	40% - 60%	1	0.4944206612821846	14552
1769	M	5:00 pm	conference	No	40% - 60%	0	0.5505108919178852	13381
1770	Sa	5:00 pm	Non-Conference	No	Less than 40%	0	0.47161102326480897	9544
1771	Th	7:00 pm	conference	Yes	More than 60%	1	0.5544914077364593	16881
1772	Fr	7:00 pm	Non-Conference	Yes	More than 60%	0	0.38536816400961754	13857
1773	Sa	5:00 pm	Non-Conference	No	Less than 40%	0	0.43641935552482947	11238
1774	Su	7:00 pm	Rivalry	Yes	More than 60%	0	0.5424294826582702	22466
1775	Su	5:00 pm	Non-Conference	Yes	More than 60%	0	0.7572944084724971	13676
1776	Tu	5:00 pm	Rivalry	No	More than 60%	0	0.7454668580905218	20829
1777	Th	5:00 pm	Non-Conference	No	More than 60%	1	0.5104496351878949	14023
1778	Su	7:00 pm	Non-Conference	No	Less than 40%	0	0.5417721276691831	10423
1779	Fr	7:00 pm	conference	No	More than 60%	1	0.6100955519279855	18368
1780	Th	7:00 pm	conference	No	Less than 40%	1	0.2072207407314125	12043
1781	Tu	7:00 pm	Rivalry	No	40% - 60%	2	0.5300665700067806	20696
1782	M	2:00 pm	Non-Conference	Yes	Less than 40%	1	0.6271319626463323	7213
1783	Fr	2:00 pm	Non-Conference	Yes	Less than 40%	0	0.5581113938249715	7203
1784	Th	5:00 pm	conference	No	More than 60%	0	0.6565109046195674	15929
1785	Sa	5:00 pm	Rivalry	Yes	More than 60%	1	0.5652023694896854	22937
1786	W	7:00 pm	Non-Conference	Yes	Less than 40%	0	0.5394012133430766	9892
1787	M	5:00 pm	conference	No	40% - 60%	1	0.4308184556840532	14717
1788	Tu	7:00 pm	Non-Conference	No	More than 60%	0	0.40969996313309986	13069
1789	Fr	7:00 pm	Non-Conference	Yes	40% - 60%	0	0.48295155928744143	12265
1790	Th	5:00 pm	Non-Conference	No	40% - 60%	2	0.5875560777343192	12819
1791	M	5:00 pm	Non-Conference	No	Less than 40%	0	0.6062702445250535	7835
1792	Th	5:00 pm	conference	No	Less than 40%	1	0.5206226564900253	12683
1793	Sa	7:00 pm	conference	No	40% - 60%	1	0.4788325993891844	18039
1794	Tu	2:00 pm	Non-Conference	Yes	40% - 60%	0	0.39646868303708144	6909
1795	Tu	5:00 pm	conference	No	More than 60%	0	0.4746347820245581	15826
1796	Fr	5:00 pm	conference	No	Less than 40%	1	0.4024590604503778	13364
1797	M	7:00 pm	conference	Yes	40% - 60%	0	0.4356505047525513	13609
